Date,Close
02/01/2004 23:58:00,"12,6613773"
05/01/2004 23:58:00,"12,5970768"
06/01/2004 23:58:00,"12,724485"
07/01/2004 23:58:00,"12,622449"
08/01/2004 23:58:00,"12,6659988"
09/01/2004 23:58:00,"12,838896"
12/01/2004 23:58:00,"12,7130146"
13/01/2004 23:58:00,"12,8870337"
14/01/2004 23:58:00,"12,6466242"
15/01/2004 23:58:00,"12,654358"
16/01/2004 23:58:00,"12,7950475"
19/01/2004 23:58:00,"12,7458631"
20/01/2004 23:58:00,"12,6084402"
21/01/2004 23:58:00,"12,7815555"
22/01/2004 23:58:00,"12,7611692"
23/01/2004 23:58:00,"12,670128"
26/01/2004 23:58:00,"12,662703"
27/01/2004 23:58:00,"12,730664"
28/01/2004 23:58:00,"12,6611602"
29/01/2004 23:58:00,"12,8529486"
30/01/2004 23:58:00,"12,808359"
02/02/2004 23:58:00,"12,8368803"
03/02/2004 23:58:00,"12,997098"
04/02/2004 23:58:00,"13,0245084"
05/02/2004 23:58:00,"12,8788224"
06/02/2004 23:58:00,"13,0226104"
09/02/2004 23:58:00,"13,0084"
10/02/2004 23:58:00,"13,0423808"
11/02/2004 23:58:00,"13,07859"
12/02/2004 23:58:00,"13,095051"
13/02/2004 23:58:00,"13,1122308"
16/02/2004 23:58:00,"12,9999588"
17/02/2004 23:58:00,"13,1638548"
18/02/2004 23:58:00,"13,0120954"
19/02/2004 23:58:00,"13,00824"
20/02/2004 23:58:00,"12,8915184"
23/02/2004 23:58:00,"12,9059091"
24/02/2004 23:58:00,"12,9028576"
25/02/2004 23:58:00,"12,9099395"
26/02/2004 23:58:00,"12,7959304"
27/02/2004 23:58:00,"12,9816114"
01/03/2004 23:58:00,"12,9486159"
02/03/2004 23:58:00,"12,8494454"
03/03/2004 23:58:00,"12,93452"
04/03/2004 23:58:00,"12,9052854"
05/03/2004 23:58:00,"12,9689711"
08/03/2004 23:58:00,"12,9313161"
09/03/2004 23:58:00,"12,8821903"
10/03/2004 23:58:00,"12,883715"
11/03/2004 23:58:00,"13,0897169"
12/03/2004 23:58:00,"12,9523525"
15/03/2004 23:58:00,"13,0252635"
