Date,Close
2004-01-02,12.661377
2004-01-05,12.597076
2004-01-06,12.724485
2004-01-07,12.622449
2004-01-08,12.665998
2004-01-09,12.838896
2004-01-12,12.713015
2004-01-13,12.887033
2004-01-14,12.646625
2004-01-15,12.654358
2004-01-16,12.795048
2004-01-19,12.745863
2004-01-20,12.60844
2004-01-21,12.781555
2004-01-22,12.761169
2004-01-23,12.670128
2004-01-26,12.662703
2004-01-27,12.730664
2004-01-28,12.66116
2004-01-29,12.852948
2004-01-30,12.808359
2004-02-02,12.836881
2004-02-03,12.997098
2004-02-04,13.024508
2004-02-05,12.878822
2004-02-06,13.022611
2004-02-09,13.0084
2004-02-10,13.04238
2004-02-11,13.07859
2004-02-12,13.095051
2004-02-13,13.112231
2004-02-16,12.999959
2004-02-17,13.163855
2004-02-18,13.012095
2004-02-19,13.00824
2004-02-20,12.891519
2004-02-23,12.90591
2004-02-24,12.902858
2004-02-25,12.90994
2004-02-26,12.795931
2004-02-27,12.981611
2004-03-01,12.948616
2004-03-02,12.849445
2004-03-03,12.93452
2004-03-04,12.905286
2004-03-05,12.968971
2004-03-08,12.931316
2004-03-09,12.882191
2004-03-10,12.883715
2004-03-11,13.089717
2004-03-12,12.952353
2004-03-15,13.025264
2004-03-16,12.986439
2004-03-17,12.941208
2004-03-18,13.120043
2004-03-19,12.997282
2004-03-22,13.076753
2004-03-23,13.077806
2004-03-24,12.865957
2004-03-25,12.841293
2004-03-26,12.838914
2004-03-29,12.895073
2004-03-30,12.904035
2004-03-31,13.019656
2004-04-01,13.095882
2004-04-02,12.846176
2004-04-05,12.710997
2004-04-06,12.835719
2004-04-07,13.135868
2004-04-08,13.122734
2004-04-13,13.294149
2004-04-14,13.101992
2004-04-15,13.170812
2004-04-16,13.060416
2004-04-19,13.116773
2004-04-20,13.080767
2004-04-21,13.087334
2004-04-22,13.076709
2004-04-23,13.129518
2004-04-26,13.024491
2004-04-27,13.178598
2004-04-28,12.975009
2004-04-29,12.968369
2004-04-30,12.753943
2004-05-03,12.812428
2004-05-04,12.956295
2004-05-05,13.008068
2004-05-06,13.055251
2004-05-07,12.833187
2004-05-10,12.623317
2004-05-11,12.806512
2004-05-12,12.737073
2004-05-13,12.795524
2004-05-14,12.80144
2004-05-17,12.891519
2004-05-18,12.848542
2004-05-19,12.964985
2004-05-21,12.99098
2004-05-24,12.894223
2004-05-25,12.887116
2004-05-26,12.890665
2004-05-27,13.016413
2004-05-28,13.076672
2004-06-01,13.144097
2004-06-02,13.059533
2004-06-03,13.061415
2004-06-04,13.054964
2004-06-07,13.148812
2004-06-08,12.996328
2004-06-09,13.182638
2004-06-10,13.119383
2004-06-11,13.050324
2004-06-14,13.049928
2004-06-15,13.059243
2004-06-16,13.119363
2004-06-17,13.04253
2004-06-18,13.095504
2004-06-21,13.162944
2004-06-22,13.1650915
2004-06-23,13.107116
2004-06-24,13.181428
2004-06-25,13.272445
2004-06-28,13.19574
2004-06-29,13.205107
2004-06-30,13.144067
2004-07-01,13.192017
2004-07-02,13.163809
2004-07-05,13.196624
2004-07-06,13.147196
2004-07-07,13.212482
2004-07-08,13.212493
2004-07-09,13.247269
2004-07-12,13.256387
2004-07-13,13.234007
2004-07-14,13.187052
2004-07-15,13.115389
2004-07-16,13.066838
2004-07-19,13.154605
2004-07-20,13.128133
2004-07-21,13.106803
2004-07-22,13.094689
2004-07-23,13.033642
2004-07-26,13.099323
2004-07-27,13.06875
2004-07-28,12.963235
2004-07-29,13.0151005
2004-07-30,12.998621
2004-08-02,13.05211
2004-08-03,13.063714
2004-08-04,13.061631
2004-08-05,13.092699
2004-08-06,13.201755
2004-08-09,13.178133
2004-08-10,13.194548
2004-08-11,13.192364
2004-08-12,13.127196
2004-08-13,13.158968
2004-08-16,13.138002
2004-08-17,13.163138
2004-08-18,13.1621275
2004-08-19,13.18433
2004-08-20,13.226772
2004-08-23,13.226952
2004-08-24,13.217383
2004-08-25,13.164108
2004-08-26,13.2065
2004-08-27,13.226983
2004-08-30,13.203727
2004-08-31,13.21769
2004-09-01,13.273161
2004-09-02,13.2614
2004-09-03,13.235028
2004-09-06,13.219324
